+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/U_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/rstblk/ngwrdrst.grst.g7serrst.gsckt_wrst.gic_rst.xpm_cdc_single_inst_rrst_wr/syncstages_ff_reg[0]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[15]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[13]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/U_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gcx.clkx/rd_pntr_cdc_inst/dest_graysync_ff_reg[0][5]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[1]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |  baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[2]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[10]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[7]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[9]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[14]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[12]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[9]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[0]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[6]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/U_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gcx.clkx/rd_pntr_cdc_inst/dest_graysync_ff_reg[0][0]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/U_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gcx.clkx/rd_pntr_cdc_inst/dest_graysync_ff_reg[0][4]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 | baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[11]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/U_HANDSHAKE/take_it_tg_dest_reg/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[11]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[2]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |  baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[1]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |  baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[6]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/U_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gcx.clkx/rd_pntr_cdc_inst/dest_graysync_ff_reg[0][2]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[15]/D|
